,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state,_id
17,,,2013-11-01,33.660784,-114.241801,1451 West Main Street,Quartzsite,85346,AZ,624f1ad6d4d1951facd1c842
18,SHOPPING_MALL,,2018-07-23,33.623538,-111.922986,15059 N. Scottsdale Rd,Scottsdale,85254,AZ,624f1ad6d4d1951facd1c842
19,,,2018-07-23,32.325618,-110.931033,2905 East Skyline Drive,Tucson,85718,AZ,624f1ad6d4d1951facd1c842
20,,,2018-07-23,32.083995,-110.803381,9255 S Rita Rd,Tucson,85747,AZ,624f1ad6d4d1951facd1c842
21,,,2018-07-23,32.270148,-109.845989,1251 Virginia Avenue,Willcox,85643,AZ,624f1ad6d4d1951facd1c842
22,,,2014-02-15,32.726686,-114.619093,310  North Madison Avenue,Yuma,85364,AZ,624f1ad6d4d1951facd1c842
23,,,2013-06-01,35.486585,-120.666378,6950 El Camino Real,Atascadero,93422,CA,624f1ad6d4d1951facd1c842
24,,,2018-07-23,35.262655,-116.08074,71808 Baker Blvd,Baker,92309,CA,624f1ad6d4d1951facd1c842
25,,,2016-10-01,35.354643,-119.331607,29541 Stockdale Hwy,Bakersfield,93314,CA,624f1ad6d4d1951facd1c842
26,,,2013-06-01,34.849124,-117.085459,2812 Lenwood Rd.,Barstow,92311,CA,624f1ad6d4d1951facd1c842
27,,,2013-06-01,34.614555,-120.188432,555 McMurray Rd,Buellton,93427,CA,624f1ad6d4d1951facd1c842
28,,,2015-11-01,34.184915,-118.311702,495 North Third Street,Burbank,91502,CA,624f1ad6d4d1951facd1c842
29,,,2016-02-01,35.400105,-119.397796,20673 Tracy Ave.,Buttonwillow,93206,CA,624f1ad6d4d1951facd1c842
30,,,2015-01-01,33.931316,-116.820082,48400 Seminole Drive,Cabazon,92230,CA,624f1ad6d4d1951facd1c842
31,,,2013-06-01,36.254143,-120.23792,24505 W Dorris Ave,Coalinga,93210,CA,624f1ad6d4d1951facd1c842
32,,,2018-07-23,37.970182,-122.058569,2001 Diamond Blvd.,Concord,94520,CA,624f1ad6d4d1951facd1c842
33,,,2013-10-31,39.92646,-122.1984,950 Hwy 99 W,Corning,96021,CA,624f1ad6d4d1951facd1c842
34,,,2016-09-01,41.752393,-124.1944,1000 Front Street,Crescent City,95531,CA,624f1ad6d4d1951facd1c842
35,,,2015-01-01,33.986765,-118.390162,6000 Sepulveda Blvd.,Culver City,90230,CA,624f1ad6d4d1951facd1c842
36,,,2018-07-23,37.324431,-122.009041,19500 Vallco Parkway,Cupertino,95014,CA,624f1ad6d4d1951facd1c842
37,,,2018-07-23,33.934471,-118.121217,251 Stonewood Street,Downey,90241,CA,624f1ad6d4d1951facd1c842
38,,,2018-07-23,33.953385,-118.112905,9500 Lakewood Boulevard,Downey,90240,CA,624f1ad6d4d1951facd1c842
39,,,2015-12-01,37.703163,-121.925304,6701 Amador Plaza Road,Dublin,94568,CA,624f1ad6d4d1951facd1c842
40,,,2018-07-23,37.459637,-122.137653,1771 East Bayshore Road,East Palo Alto,94303,CA,624f1ad6d4d1951facd1c842
41,,,2015-01-01,32.760837,-115.532486,3551 S Dogwood Rd,El Centro,92243,CA,624f1ad6d4d1951facd1c842
42,,,2016-08-15,40.778885,-124.188383,3300 Broadway St.,Eureka,95501,CA,624f1ad6d4d1951facd1c842
43,,,2018-07-23,38.261782,-122.052399,1350 Travis Blvd.,Fairfield,94533,CA,624f1ad6d4d1951facd1c842
44,,,2015-04-01,37.473828,-119.635893,1122 Highway 41,Fish Camp,93623,CA,624f1ad6d4d1951facd1c842
45,,,2013-06-01,38.642291,-121.18813,220 Iron Point Rd.,Folsom,95630,CA,624f1ad6d4d1951facd1c842
46,,,2016-08-15,38.647199,-121.118344,220 Palladio Parkway,Folsom,95630,CA,624f1ad6d4d1951facd1c842
47,,,2015-05-01,33.70275,-117.934297,17940 Newhope Street,Fountain Valley,92708,CA,624f1ad6d4d1951facd1c842
48,,,2018-07-23,37.544293,-121.984002,39201 Fremont Blvd.,Fremont,94538,CA,624f1ad6d4d1951facd1c842
49,,,2013-06-01,37.492713,-121.944627,45500 Kato Rd,Fremont,94538,CA,624f1ad6d4d1951facd1c842
50,,,2016-02-01,36.835455,-119.91058,6623 N Riverside Dr,Fresno,93722,CA,624f1ad6d4d1951facd1c842
51,,,2013-06-01,37.02445,-121.56535,Leavesley Rd,Gilroy,95020,CA,624f1ad6d4d1951facd1c842
52,,,2018-07-23,34.145132,-118.257249,899 Americana Way,Glendale,91210,CA,624f1ad6d4d1951facd1c842
53,,,2017-01-15,37.838679,-120.23199,11875 Ponderosa Lane,Groveland,95321,CA,624f1ad6d4d1951facd1c842
54,,,2018-07-23,36.989864,-121.380447,10021 Pacheco Pass Hwy,Hollister,95023,CA,624f1ad6d4d1951facd1c842
55,,,2014-10-01,33.741291,-116.215029,42100 Jackson Street,Indio,92203,CA,624f1ad6d4d1951facd1c842
56,,,2015-03-01,35.646451,-117.812644,1353 Brown Road,Inyokern,93527,CA,624f1ad6d4d1951facd1c842
57,,,2018-07-23,35.987304,-119.961818,27675 Bernard Drive,Kettleman City,93239,CA,624f1ad6d4d1951facd1c842
58,,,2018-07-23,33.698633,-117.348704,17600 Collier Avenue,Lake Elsinore,92530,CA,624f1ad6d4d1951facd1c842
59,SHOPPING_CENTER,,2013-06-01,34.98737,-118.946272,5602 Dennis McCarthy Drive,Lebec,93243,CA,624f1ad6d4d1951facd1c842
60,,,2015-02-01,36.60059,-118.061916,701 S Main St,Lone Pine,93545,CA,624f1ad6d4d1951facd1c842
61,,,2015-12-31,37.644519,-118.965499,1475 Tavern Road,Mammoth Lakes,93546,CA,624f1ad6d4d1951facd1c842
62,,,2015-02-01,37.782622,-121.228683,960 Perimeter Dr,Manteca,95337,CA,624f1ad6d4d1951facd1c842
63,,,2015-04-01,35.068595,-118.174576,16940 California 14,Mojave,93501,CA,624f1ad6d4d1951facd1c842
64,,,2017-09-01,36.585749,-121.898726,1410 Del Monte Center,Monterey,93940,CA,624f1ad6d4d1951facd1c842
65,SHOPPING_CENTER,,2018-07-23,41.31032,-122.315934,134 Morgan Way,Mount Shasta,96067,CA,624f1ad6d4d1951facd1c842
66,HOTEL,,2013-10-31,41.310222,-122.31731,111 Morgan Way,Mt. Shasta,96067,CA,624f1ad6d4d1951facd1c842
67,,,2018-07-23,37.415328,-122.076575,1401 N. Shoreline Blvd.,Mountain View,94043,CA,624f1ad6d4d1951facd1c842
68,,,2016-07-15,38.235578,-122.263886,221 Devlin Rd,Napa,94558,CA,624f1ad6d4d1951facd1c842
69,,,2015-02-01,34.850835,-114.624329,2451 Needles HWY,Needles,92363,CA,624f1ad6d4d1951facd1c842
70,SHOPPING_CENTER,,2014-10-01,34.238115,-119.178084,2751 Park View Ct,Oxnard,93036,CA,624f1ad6d4d1951facd1c842
71,,,2015-02-01,38.242676,-122.625023,401 KENNILWORTH DRIVE,Petaluma,94952,CA,624f1ad6d4d1951facd1c842
72,,,2015-01-01,34.113584,-117.529427,12642 Cultural Center Dr.,Rancho Cucamonga,91739,CA,624f1ad6d4d1951facd1c842
73,,,2015-02-01,33.894227,-118.367407,2410 Marine Avenue,Redondo Beach,90278,CA,624f1ad6d4d1951facd1c842
74,,,2018-07-23,33.98152,-117.376073,3370 9th St,Riverside,92501,CA,624f1ad6d4d1951facd1c842
75,,,2015-03-01,38.80086,-121.210529,4361 Granite Drive,Rocklin,95677,CA,624f1ad6d4d1951facd1c842
76,SHOPPING_MALL,,2014-04-15,38.771208,-121.266149,1151 Galleria Blvd,Roseville,95678,CA,624f1ad6d4d1951facd1c842
77,SHOPPING_MALL,,2018-07-23,38.6378,-121.497172,3668 N. Freeway Blvd.,Sacramento,95834,CA,624f1ad6d4d1951facd1c842
78,SHOPPING_MALL,,2018-07-23,36.715623,-121.653963,1606 North Main Street,Salinas,93906,CA,624f1ad6d4d1951facd1c842
79,,,2018-07-23,34.084096,-117.299376,500 Inland Center Drive,San Bernardino,92408,CA,624f1ad6d4d1951facd1c842
80,,,2018-07-23,37.503005,-122.24544,1127 Industrial Road,San Carlos,94070,CA,624f1ad6d4d1951facd1c842
81,,,2018-07-23,33.436793,-117.626864,101 West Avenida Vista Hermosa,San Clemente,92672,CA,624f1ad6d4d1951facd1c842
82,,,2015-02-01,32.902166,-117.193699,10155 Pacific Heights Blvd,San Diego,92121,CA,624f1ad6d4d1951facd1c842
83,,,2018-07-23,32.71915,-117.159545,1350 6th Avenue,San Diego,92101,CA,624f1ad6d4d1951facd1c842
84,,,2014-05-01,33.498538,-117.66309,31971  Camino Capistrano,San Juan Capistrano,92675,CA,624f1ad6d4d1951facd1c842
85,,,2018-07-23,35.265129,-120.676216,100 Madonna Road,San Luis Obispo,93405,CA,624f1ad6d4d1951facd1c842
86,,,2015-03-01,37.5447,-122.29011,1200 Park Place,San Mateo,94403,CA,624f1ad6d4d1951facd1c842
87,,,2018-07-23,37.558395,-122.28434,2220 Bridgepointe Pkwy,San Mateo,94404,CA,624f1ad6d4d1951facd1c842
88,,,2017-11-01,33.775859,-117.872041,2800 N. Main Street,Santa Ana,92705,CA,624f1ad6d4d1951facd1c842
89,,,2015-06-01,36.61697,-121.843973,1901 Del Monte Boulevard,Seaside,93955,CA,624f1ad6d4d1951facd1c842
90,,,2018-07-23,37.37339,-122.032893,298 W. McKinley Ave.,Sunnyvale,94086,CA,624f1ad6d4d1951facd1c842
91,,,2016-05-01,33.52421,-117.152568,40820 Winchester Rd.,Temecula,92591,CA,624f1ad6d4d1951facd1c842
92,,,2015-11-01,39.321865,-120.1621,11209 Brockway Road,Truckee,96161,CA,624f1ad6d4d1951facd1c842
93,,,2014-08-15,39.327438,-120.20741,11290 Donner Pass Rd,Truckee,96161,CA,624f1ad6d4d1951facd1c842
94,,,2016-12-01,34.12046,-116.050953,73829 Baseline Road,Twentynine Palms,92277,CA,624f1ad6d4d1951facd1c842
95,,,2016-01-01,39.1481,-123.208604,250 W Clay St.,Ukiah,95482,CA,624f1ad6d4d1951facd1c842
96,,,2013-12-15,38.366645,-121.958136,321 Nut Tree Road,Vacaville,95687,CA,624f1ad6d4d1951facd1c842
97,,,2018-07-23,34.430977,-118.554099,24061 Newhall Ranch Road,Valencia,91355,CA,624f1ad6d4d1951facd1c842
98,,,2018-07-23,34.90697,-116.834617,36017 Calico Road,Yermo,92398,CA,624f1ad6d4d1951facd1c842
99,,,2018-07-23,39.204837,-106.858507,38750 Highway 82,Aspen,81611,CO,624f1ad6d4d1951facd1c842
100,,,2018-07-23,40.020289,-105.257022,1710 29th Street,Boulder,80301,CO,624f1ad6d4d1951facd1c842
101,,,2015-12-31,38.837573,-104.824889,215 North Cascade Avenue,Colorado Springs,80903,CO,624f1ad6d4d1951facd1c842
102,,,2015-01-01,39.77512,-104.794648,4310 Airport Way,Denver,80239,CO,624f1ad6d4d1951facd1c842
103,,,2018-07-23,40.38382,-105.519754,333 Wonderview Avenue,Estes Park,80517,CO,624f1ad6d4d1951facd1c842
104,,,2013-10-01,39.552676,-107.340171,125 Wulfsohn Road,Glenwood Springs,81601,CO,624f1ad6d4d1951facd1c842
105,,,2014-06-15,39.268975,-103.708626,2221 6th St.,Limon,80828,CO,624f1ad6d4d1951facd1c842
106,SHOPPING_MALL,,2014-03-01,39.562731,-104.873454,8401 Park Meadows Center Drive,Lone Tree,80124,CO,624f1ad6d4d1951facd1c842
107,,,2017-01-15,40.441566,-104.991324,4705 Clydesdale Parkway,Loveland,80538,CO,624f1ad6d4d1951facd1c842
108,,,2013-10-01,39.631467,-106.070818,246-V Rainbow Dr,Silverthorne,80498,CO,624f1ad6d4d1951facd1c842
109,,,2015-04-01,37.134167,-104.519352,9960 Santa Fe Trail,Trinidad,81082,CO,624f1ad6d4d1951facd1c842
110,,,2018-07-23,41.379441,-73.477961,7 Backus Ave,Danbury,06810,CT,624f1ad6d4d1951facd1c842
111,,,2012-12-01,41.07986,-73.462126,1 E Trail,Darien,06820,CT,624f1ad6d4d1951facd1c842
112,,,2013-10-01,41.068155,-73.503238,1 West Ave.,Darien,06820,CT,624f1ad6d4d1951facd1c842
113,,,2014-03-15,41.040555,-73.673445,2000 Merritt Parkway,Greenwich,06830,CT,624f1ad6d4d1951facd1c842
114,,,2014-03-15,41.041538,-73.671661,3000 Merritt Parkway,Greenwich,06830,CT,624f1ad6d4d1951facd1c842
115,,,2018-07-23,41.766493,-72.674129,777 Main Street,Hartford,06824,CT,624f1ad6d4d1951facd1c842
116,,,2018-01-01,41.80452,-72.562282,1470 Pleasant Valley Road,Manchester,06042,CT,624f1ad6d4d1951facd1c842
117,,,2017-07-01,41.238119,-73.036133,1201 Boston Post Road,Milford,06460,CT,624f1ad6d4d1951facd1c842
118,,,2015-01-01,41.722672,-72.759717,1445 New Britain Ave.,West Hartford,06110,CT,624f1ad6d4d1951facd1c842
119,,,2018-07-23,38.74431,-75.153308,17663 Dartmouth Drive,Lewes,19958,DE,624f1ad6d4d1951facd1c842
120,,,2013-06-01,39.663509,-75.690168,530 John F Kennedy Memorial Hwy,Newark,19702,DE,624f1ad6d4d1951facd1c842
121,,,2018-07-23,28.665051,-81.381411,355 East Altamonte Drive,Altamonte Springs,32701,FL,624f1ad6d4d1951facd1c842
122,,,2018-07-23,25.959456,-80.143016,19501 Biscayne Boulevard,Aventura,33180,FL,624f1ad6d4d1951facd1c842
123,,,2014-10-01,27.940665,-82.323525,2400 W Brandon Blvd,Brandon,33511,FL,624f1ad6d4d1951facd1c842
124,,,2018-07-23,26.455624,-80.190377,14851 Lyons Road,Delray Beach,33446,FL,624f1ad6d4d1951facd1c842
125,,,2017-09-01,25.456567,-80.474333,33505 South Dixie Hwy,Florida City,33034,FL,624f1ad6d4d1951facd1c842
126,,,2018-07-23,26.60777,-81.809942,9355 Six Mile Cypress Parkway,Fort Myers,33966,FL,624f1ad6d4d1951facd1c842
127,,,2015-03-01,24.72611,-81.047912,9400 Overseas Hwy,Marathon,33050,FL,624f1ad6d4d1951facd1c842
128,,,2018-07-23,25.813933,-80.194551,90 NE 41st Street,Miami,33137,FL,624f1ad6d4d1951facd1c842
129,,,2017-09-01,26.144547,-81.788834,499 Bayfront Place,Naples,34102,FL,624f1ad6d4d1951facd1c842
130,,,2015-01-01,29.140981,-82.193938,4414 SW College Road,Ocala,34474,FL,624f1ad6d4d1951facd1c842
131,,,2018-07-23,28.449796,-81.466107,6500 West Sand Lake Road,Orlando,32819,FL,624f1ad6d4d1951facd1c842
132,,,2017-09-01,27.846096,-82.678125,3101 Gandy Blvd.,Pinellas Park,33782,FL,624f1ad6d4d1951facd1c842
133,,,2015-12-31,26.108605,-80.252444,801 S. University Drive,Plantation,33324,FL,624f1ad6d4d1951facd1c842
134,,,2013-10-01,29.108571,-81.034603,5302 South Williamson Blvd,Port Orange,32128,FL,624f1ad6d4d1951facd1c842
135,,,2013-06-01,27.31293,-80.406743,1701 NW Peacock Blvd,Port St. Lucie,34986,FL,624f1ad6d4d1951facd1c842
136,PARKING_LOT,,2018-07-23,27.386298,-82.464374,5903 Honore Ave,Sarasota,34238,FL,624f1ad6d4d1951facd1c842
137,,,2013-12-15,29.924286,-81.416018,2700 Florida 16,St. Augustine,32092,FL,624f1ad6d4d1951facd1c842
138,,,2015-04-01,30.510908,-84.247841,3528 Thomasville Rd,Tallahassee,32309,FL,624f1ad6d4d1951facd1c842
139,,,2018-07-23,27.965335,-82.402003,2502 North 50th Street,Tampa,33619,FL,624f1ad6d4d1951facd1c842
140,,,2018-07-23,28.514873,-81.500189,Mile Marker 263 Florida Turnpike,Turkey Lake,32835,FL,624f1ad6d4d1951facd1c842
141,,,2018-07-23,28.037013,-80.664151,206 Palm Bay Road,West Melbourne,32904,FL,624f1ad6d4d1951facd1c842
142,,,2018-07-23,33.917081,-83.452989,1791 Oconee Connector,Athens,30606,GA,624f1ad6d4d1951facd1c842
143,,,2015-01-01,33.79382,-84.39713,1380 Atlantic Drive NW,Atlanta,30363,GA,624f1ad6d4d1951facd1c842
144,,,2016-06-01,33.514985,-82.04446,1069 Stevens Creek Road,Augusta,30907,GA,624f1ad6d4d1951facd1c842
145,,,2015-10-01,30.790734,-81.663625,1190 East Boone Avenue,Kingsland,31548,GA,624f1ad6d4d1951facd1c842
146,,,2014-01-01,32.135885,-81.212853,400 Airways Avenue,Savannah,31408,GA,624f1ad6d4d1951facd1c842
147,,,2016-10-01,41.680372,-91.591467,1914 8th Street,Coralville,52241,IA,624f1ad6d4d1951facd1c842
148,,,2015-03-01,41.220921,-95.835579,3815 Metro Drive,Council Bluffs,51501,IA,624f1ad6d4d1951facd1c842
149,,,2016-11-01,41.575888,-90.513526,4064 E 53rd St,Davenport,52807,IA,624f1ad6d4d1951facd1c842
150,,,2018-07-23,41.599019,-93.806336,1725 Jordan Creek Parkway,West Des Moines,50266,IA,624f1ad6d4d1951facd1c842
151,,,2017-09-01,42.674008,-93.462779,904 Cardinal Lane,Dows,50071,IA,624f1ad6d4d1951facd1c842
152,,,2018-07-23,42.487579,-90.664071,400 South Locust Street,Dubuque,52003,IA,624f1ad6d4d1951facd1c842
153,,,2015-08-01,43.592251,-116.27942,1426 South Entertainment Ave.,Boise,83709,ID,624f1ad6d4d1951facd1c842
154,,,2015-03-01,47.708479,-116.794283,3458 N Fruitland Lane,Coeur d'Alene,83815,ID,624f1ad6d4d1951facd1c842
155,,,2016-06-01,43.485152,-112.05205,940 Pier View Drive,Idaho Falls,83402,ID,624f1ad6d4d1951facd1c842
156,,,2016-06-01,42.899615,-112.435248,1399 Bench Road,Pocatello,83201,ID,624f1ad6d4d1951facd1c842
157,,,2015-11-01,42.597887,-114.455249,2015 Neilsen Point Place,Twin Falls,83301,ID,624f1ad6d4d1951facd1c842
158,,,2018-07-23,41.802949,-88.370249,151 Hansen Blvd,North Aurora,60542,IL,624f1ad6d4d1951facd1c842
159,,,2017-09-01,41.722171,-88.03744,755 E. Boughton Road,Bolingbrook,60440,IL,624f1ad6d4d1951facd1c842
160,,,2016-05-01,40.146204,-88.259828,2401 North Prospect Avenue,Champaign,61822,IL,624f1ad6d4d1951facd1c842
161,,,2013-09-01,42.243893,-88.978895,7200 Harrison Ave,Cherry Valley,61112,IL,624f1ad6d4d1951facd1c842
162,,,2018-04-01,41.869126,-87.639971,1100 South Canal Street,Chicago,60607,IL,624f1ad6d4d1951facd1c842
163,,,2018-04-01,41.88651,-87.61972,225 North Columbus Drive,Chicago,60601,IL,624f1ad6d4d1951facd1c842
164,,,2018-04-01,41.937552,-87.644709,3030 North Broadway,Chicago,60657,IL,624f1ad6d4d1951facd1c842
165,,,2015-01-01,41.585206,-87.721114,4201 167th St.,Country Club Hills,60478,IL,624f1ad6d4d1951facd1c842
166,,,2015-03-01,39.137114,-88.563468,1200 N. Keller Drive,Effingham,62401,IL,624f1ad6d4d1951facd1c842
167,,,2018-07-23,42.0771634,-87.860828,1200 Milwaukee Avenue,Glenview,60025,IL,624f1ad6d4d1951facd1c842
168,,,2016-11-01,38.316292,-88.955923,222 Potomac Blvd.,Mt. Vernon,62864,IL,624f1ad6d4d1951facd1c842
169,,,2016-06-01,41.348503,-89.126115,1651 Midtown Road,Peru,61354,IL,624f1ad6d4d1951facd1c842
170,,,2018-04-01,42.049832,-87.994959,1301 Meijer Drive,Rolling Meadows,60008,IL,624f1ad6d4d1951facd1c842
171,,,2018-04-01,42.008864,-87.76335,5507 Touhy Avenue,Skokie,60077,IL,624f1ad6d4d1951facd1c842
172,,,2015-01-01,39.748868,-89.67119,3801 S. MacArthur Blvd.,Springfield,62711,IL,624f1ad6d4d1951facd1c842
173,,,2018-07-23,39.971892,-86.15263,1424 W Carmel Dr,Carmel,46032,IN,624f1ad6d4d1951facd1c842
174,,,2013-12-15,41.699048,-85.000326,3855  Indiana 127,Angola,46703,IN,624f1ad6d4d1951facd1c842
175,,,2018-07-23,39.9576,-86.016125,9 Municipal Drive,Fishers,46038,IN,624f1ad6d4d1951facd1c842
176,,,2018-07-23,41.138488,-85.163426,6309 Lima Road,Fort Wayne,46818,IN,624f1ad6d4d1951facd1c842
177,,,2015-01-01,39.702238,-86.07959,5120 Victory Drive,Indianapolis,46203,IN,624f1ad6d4d1951facd1c842
178,,,2014-10-01,40.41621,-86.814089,4901 State Rd. 26E,Lafayette,47905,IN,624f1ad6d4d1951facd1c842
179,,,2018-07-23,41.468657,-87.343363,611 West Lincoln Highway,Merrillville,46410,IN,624f1ad6d4d1951facd1c842
180,,,2013-12-15,41.717337,-86.18863,6501 Grape Rd,Mishawaka,46545,IN,624f1ad6d4d1951facd1c842
181,,,2016-05-01,39.443345,-87.331737,5600 E. New Margaret Dr.,Terre Haute,47803,IN,624f1ad6d4d1951facd1c842
182,,,2018-07-23,39.361344,-101.054067,700 E Horton Ave.,Colby,67701,KS,624f1ad6d4d1951facd1c842
183,,,2014-06-15,39.326258,-101.725107,2631 Enterprise Rd,Goodland,67735,KS,624f1ad6d4d1951facd1c842
184,,,2014-06-15,38.900543,-99.319142,4101 Vine St,Hays,67601,KS,624f1ad6d4d1951facd1c842
185,,,2014-07-01,38.877342,-97.618699,755 W. Diamond Dr.,Salina,67401,KS,624f1ad6d4d1951facd1c842
186,,,2015-01-01,39.04438,-95.760267,5930 SW Huntoon St,Topeka,66604,KS,624f1ad6d4d1951facd1c842
187,,,2015-02-01,37.60878,-97.33314,4760 S. Broadway Street,Wichita,67216,KS,624f1ad6d4d1951facd1c842
188,,,2017-01-15,37.073405,-88.124752,62 Days Inn Dr.,Kuttawa,42055,KY,624f1ad6d4d1951facd1c842
189,,,2015-02-01,38.017955,-84.420664,2155 Paul Jones Way,Lexington,40509,KY,624f1ad6d4d1951facd1c842
190,,,2015-02-01,37.14916,-84.11385,140 Faith Assembly Church Road,London,40741,KY,624f1ad6d4d1951facd1c842
191,,,2016-01-01,38.211962,-85.67319,2120 Gardiner Ln,Louisville,40205,KY,624f1ad6d4d1951facd1c842
192,,,2016-06-01,31.312424,-92.446436,701 4th Street,Alexandria,71301,LA,624f1ad6d4d1951facd1c842
193,,,2015-02-01,30.423892,-91.154637,3535 Perkins Road,Baton Rouge,70808,LA,624f1ad6d4d1951facd1c842
194,,,2015-01-01,30.199071,-93.248782,1772 W Prien Lake Road,Lake Charles,70601,LA,624f1ad6d4d1951facd1c842
195,,,2016-10-01,32.496455,-92.055059,4919 Pecanland Mall Drive,Monroe,71203,LA,624f1ad6d4d1951facd1c842
196,,,2016-05-01,32.478594,-93.75437,1133 St. Vincent Ave.,Shreveport,71104,LA,624f1ad6d4d1951facd1c842
197,,,2016-02-01,30.266552,-89.760156,1303 Town Center Pkwy,Slidell,70458,LA,624f1ad6d4d1951facd1c842
198,,,2015-01-01,42.203734,-71.833059,385 Southbridge St.,Auburn,01501,MA,624f1ad6d4d1951facd1c842
199,,,2018-07-23,42.3255,-71.0633,101 Allstate Road,Boston,02125,MA,624f1ad6d4d1951facd1c842
200,,,2018-07-23,42.34717,-71.081003,800 Boylston Street,Boston,02199,MA,624f1ad6d4d1951facd1c842
201,,,2018-07-23,42.3685,-71.0762,100 Cambridgeside Place,Cambridge,02141,MA,624f1ad6d4d1951facd1c842
202,,,2015-05-01,42.236461,-71.178325,840 Providence Highway,Dedham,02026,MA,624f1ad6d4d1951facd1c842
203,,,2018-07-23,42.303647,-71.394175,1 Worcester Rd,Framingham,01701,MA,624f1ad6d4d1951facd1c842
204,,,2018-07-23,42.338748,-72.609253,25 Russell Street,Hadley,01035,MA,624f1ad6d4d1951facd1c842
205,,,2016-09-01,42.295745,-73.239226,10 Pleasant St.,Lee,01238,MA,624f1ad6d4d1951facd1c842
206,,,2018-07-23,42.529592,-71.744201,100 Commercial Road,Leominster,01453,MA,624f1ad6d4d1951facd1c842
207,,,2018-07-23,42.013724,-71.23175,280 School Street,Mansfield,02048,MA,624f1ad6d4d1951facd1c842
208,,,2015-01-01,41.781195,-70.540289,22 Meetinghouse Lane,Sagamore Beach,02562,MA,624f1ad6d4d1951facd1c842
209,,,2018-07-23,42.130914,-72.621435,935 Riverdale Street,West Springfield,01089,MA,624f1ad6d4d1951facd1c842
210,,,2018-07-23,39.497944,-76.230931,I-95,Aberdeen,21001,MD,624f1ad6d4d1951facd1c842
211,,,2018-07-23,39.118193,-77.20231,9811 Washingtonian Blvd.,Gaithersburg,20878,MD,624f1ad6d4d1951facd1c842
212,,,2018-07-23,38.965729,-76.220938,108 Jackson Creek Road,Grasonville,21638,MD,624f1ad6d4d1951facd1c842
213,,,2014-01-01,39.605859,-77.733324,495 Premium Outlets Blvd,Hagerstown,21740,MD,624f1ad6d4d1951facd1c842
214,,,2018-07-23,39.636287,-78.845731,11601 Winchester Road,La Vale,21502,MD,624f1ad6d4d1951facd1c842
215,,,2016-10-01,39.095382,-76.858319,14700 Baltimore Ave,Laurel,20707,MD,624f1ad6d4d1951facd1c842
216,,,2018-07-23,39.61224,-76.00878,John F Kennedy Memorial Hwy,North East,21901,MD,624f1ad6d4d1951facd1c842
217,,,2015-01-01,38.4016,-75.56489,2300 North Salisbury Blvd.,Salisbury,21801,MD,624f1ad6d4d1951facd1c842
218,SHOPPING_MALL,,2015-11-01,44.347885,-69.786042,197 Civic Center Drive,Augusta,04330,ME,624f1ad6d4d1951facd1c842
219,,,2016-09-01,44.775828,-68.734647,5 Walton Dr,Brewer,04412,ME,624f1ad6d4d1951facd1c842
220,,,2018-07-23,43.858834,-70.104067,95 Main Street,Freeport,04032,ME,624f1ad6d4d1951facd1c842
